# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=korean,한국어
	ICON=Icons/korean.png
	ORDER=80

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=RenogareKR,62

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		이 게임은 자동 저장 기능을 지원합니다.
	AUTOSAVING_DESC_NS=
		이 아이콘이 표시되면
		콘솔 전원을 끄지 마세요.
	AUTOSAVING_TITLE_PS4=
		이 게임은 자동 저장 기능을 지원합니다.
	AUTOSAVING_DESC_PS4=
		이 아이콘이 표시되면
		콘솔 전원을 끄지 마세요.
	AUTOSAVING_TITLE_XB1=
		이 게임은 자동 저장 기능을 지원합니다.
	AUTOSAVING_DESC_XB1=
		이 아이콘이 표시되면
		콘솔 전원을 끄지 마세요.
	AUTOSAVING_TITLE_PC=
		이 게임은 자동 저장 기능을 지원합니다.
	AUTOSAVING_DESC_PC=
		이 아이콘이 표시되면
		컴퓨터 전원을 끄지 마세요.

# Main Menu
	MENU_DEBUG=		~디버그~
		등산 도중 숨을 거둔 이들을
		기리기 위한 추모비

	CH1_END=
		[MADELINE left distracted]
		아, 너무 힘들다.

		{trigger 0 MADELINE sits down to rest. A bird swoops in, lands on her head, and goes to sleep}
		
		[MADELINE left deadpan]
		{>> .4}...어쩌면 {+MOUNTAIN}을 오르기로 한 건 실수였을지도 몰라.

# *** Chapter 02 ***

	CH2_BADELINE_INTRO=
		{anchor top}
		
		[BADELINE left normal]
		{+MADELINE}, 천천히 가라고, 자기.

		{trigger 0 Madeline turns around}
		
		[MADELINE right distracted]
		방금... 누구야?
		
		[BADELINE left normal]
		아, 난 그저 걱정 많은 관객일 뿐이야.

		{trigger 1 Badeline is revealed}
		
		[MADELINE right sad]
		넌... 나야?

		[BADELINE left normal]
		난 {+PART_OF_YOU}야.

		[MADELINE right sad]
		{+PART_OF_ME}인데 왜 이리 {.3}{*}기분 나쁘게 생겼지?{/*}

		[BADELINE left worried]
		...

		[BADELINE left angry]
		난 원래 이렇게 생겼어, 그래서 뭐 어쩔 건데?
		그냥 받아들이라구.

		[MADELINE right distracted]
		미안, 그런 뜻으로 말한 게-

		[BADELINE left angry]
		흥, 됐거든.
		{~}마침내{/~} 네 머릿속에서 나와서 정말 다행이네.

		[BADELINE left upset]
		그렇지만, 난 우리 상황이 걱정된다고.

		[BADELINE left normal]
		취미가 필요하긴 하지만 이건...
		
		[MADELINE right sad]
		미친 소리처럼 들리겠지만, 난 이 {+MOUNTAIN}의 정상에 올라갈 거야.

		{trigger 2 Badeline starts laughing}
		
		[BADELINE left scoff]
		우리 자기가 뭐든지 될 수 있다는 건 알고 있지만,{n}그렇다고 해서 {~}등산가{/~}가 될 순 없거든요?

		[MADELINE right distracted]
		누가 안 된다 그래?

		{trigger 3 Badeline stops laughing}
		
		[BADELINE left upset]
		네게 어려운 일이라는 건 알지만, 한 번만이라도 현실적으로 생각해 봐.
		넌 지금 네가 무엇에 뛰어들고 있는지도 전혀 모르잖아.
		넌 절대 감당하지 못할 거야.
		
		[MADELINE right upset]
		지금 상황을 알고 있으니까 이러는 건데.
		넌 약해 빠진 {+PART_OF_ME}야, 아니면 게으른 일부야?

		[BADELINE left upset]
		난 현실적인 일부야.
		
		[BADELINE left scoff]
		그리고 난 널 정중히 설득하려고 {~}노력하고 있는데{/~} 말이야.
		
		[BADELINE left serious]
		{s 4}집에 가자. {.6}[BADELINE left serious_alt]함께.

	CH2_DREAM_PHONECALL=
		[MADELINE_PHONE left distracted]
		여보세요?
		
		[EX_PHONE right normal]
		{+MADELINE}?
		...지금 공중전화로 전화하는 거야?

		[MADELINE_PHONE left distracted]
		어.

		[MADELINE_PHONE left sad]
		잠깐, 아니지... 네가 여기로 전화 건 거잖아.

		[EX_PHONE right normal]
		지금 무슨 소릴 하는 거야?
		
		[MADELINE_PHONE left distracted]
		됐고. 나 문제 생겼어.
		누군가... 날 쫓아오고 있어.

		[MADELINE_PHONE left sad]
		무슨 일이 일어나고 있는 건진 몰라도 엄청 위험한 상황인 건 분명해.
		
		[EX_PHONE right normal]
		{+MADELINE}, 너 밤에 불안할 때만 나한테 전화 걸잖아.
		내 관심 끌려고 말도 안 되는 이야기를 지어낼 필요는 없어.
		
		[MADELINE_PHONE left angry]
		지어낸 거 아냐!
		넌 항상 그런 식으로 말하더라!
		
		[EX_PHONE right normal]
		{~}쉬이잇,{/~} {.5}괜찮아, 진정해.
		미안해, 자기야.
		무슨 일인지 나한테 말해 줄래?
		
		[MADELINE_PHONE left sad]
		{+CELESTE_MOUNTAIN}을 오르고 있었어.{n}올라가다가 오래된 거울을 발견했는데 이게 깨지더니,{n}{+PART_OF_ME}라는 애가 탈출했어. 그리고...

		[MADELINE_PHONE left upset]
		...
		...나 지금 꿈꾸는 거지?
		
		[EX_PHONE right normal]
		{+MADELINE}. 당연히 꿈꾸는 거지.
		너랑 대화 안 한 지 몇 달은 됐어.
		이제 와서 갑자기 대화하다니, 이상하잖아?
		
		[MADELINE_PHONE left angry]
		으으! 내가 이 망할 {+MOUNTAIN}은 애초에 왜 오르고 있는 거야?

		{trigger 0 Badeline appears}
		
		[BADELINE right scoff]
		그러게 말이야.
		
		[BADELINE right upset]
		이제 그만 포기하고 집에 돌아갈 시간이야.

	# if the MADELINE has never met Theo before
	CH2_THEO_INTRO_NEVER_MET=
		[THEO left normal]
		안녕하신가, 탐험가 친구!
		
		[MADELINE right distracted]
		어... 안녕.

		{trigger 0 Madeline approaches}

		[THEO left normal]
		너도 이 유적을 둘러보려고 여기까지 올라온 거야?
		
		[MADELINE right sad]
		음... 아니, 난 정상으로 가는 중이야.
		
		[THEO left excited]
		우와, 장난 아닌데!
		
		[THEO left normal]
		아무튼, 내 이름은 {+THEO}야. {>> .3}{~}머나먼 나라{/~}{>>}에서 온 모험가지!
		
		[MADELINE right sad]
		...{.2}
		
		[THEO left thinking]
		흠, 말이 많은 편은 아니구나?
		
		[THEO left normal]
		비밀에 둘러싸인 외톨이 늑대 같은 타입이라, 알겠어.{n}너의 어두운 과거에 대해서는 내가 알아서 상상할게.

	# if the MADELINE has met Theo, but never introduced herself
	CH2_THEO_INTRO_NEVER_INTRODUCED=
		[MADELINE right sad]
		안녕, {+THEO}. 지난번엔 미안했어.{n}난 {+MADELINE}(이)야.
		그땐 잠시 생각이 복잡했었거든...
		
		[THEO left normal]
		그렇다면 딱 좋은 장소에 온 거네!
		이 유적에선 뭔가 자기성찰적인 분위기가 느껴지는 거 같아.
		말로 표현하자면, 거울에 비친 자신을 돌아보게 만드는 거지.
		
		[MADELINE right distracted]
		그래, 네 말이 맞을지도 몰라.

		[MADELINE right normal]
		그나저나, 네가 말한 "{>> .5}{~}머나먼 나라{/~}{>>}"는 어디를 말하는 거야?
		
		[THEO left excited]
		아, 탐구심 넘치는 동포여.{n}소인의 출신지는, {.3}{~}신비롭고,{.4} 이국적인{/~}{.4} 왕국인...
		
		[THEO left normal]
		{.4}시애틀이야.

		[MADELINE right normal]
		특별한 곳인 거 같네!

	# added to the start of the CH2_THEO_A if the MADELINE has met and introduced themselves to Theo
	# (if NEVER_MET and NEVER_INTRODUCED are skipped)
	CH2_THEO_A_EXT=
		[THEO left excited]
		여, {+MADELINE}! 왔구나!

		{trigger 3 Madeline Approaches}

		{+ CH2_THEO_A}

	# normal conversation once introductions are out of the way
	CH2_THEO_A=
		[THEO left normal]
		여기까지 올라오는 게 쉽진 않았지만, 그럴 만한 가치가 있었던 거 같아.
		
		[THEO left excited]
		이 유적 정말 끝내준다구!
		근사한 사진도 많이 찍었는데, 한번 볼래?
		
		[MADELINE right sad]
		어... [MADELINE right normal]그래, 볼래.

		{trigger 0 Maddy walks to Theo}

		[MADELINE right normal]
		{+THEO}, 이 사진들 정말 멋지다!
		
		[THEO left thinking]
		이 사진들을 {+INSTAPIX}에 올리면 아마 팔로워 천 명은 찍을 거야.

		{trigger 1 Theo puts away phone}
		
		[THEO left normal]
		아! 우리 이 순간을 기념하자는 의미에서...
		
		[THEO left excited]
		나랑 셀카 한 장 찍자!
		
		[MADELINE right distracted]
		어... 그다지 좋은 생각은 아닌 거 같은데...
		
		[THEO left normal]
		에이, 그러지 말고, 잠깐이면 돼. 여길 봐!

		{trigger 2 Theo takes a selfie with Maddy by surprise}
		
		[MADELINE right upset]
		...

	CH2_THEO_B=
		[THEO left normal]
		미안, 미안.
		걱정하지 마, 이건 {+INSTAPIX}에 올리지 않을게.

		[MADELINE right distracted]
		...
		
		[MADELINE right sad]
		아냐, 괜찮아. 올려도 돼.
		난 그냥...{.2} 사진을 잘 받는 편이 아니라서.
		
		[THEO left normal]
		{+MADELINE}, 너무 스스로에게 엄격하게 굴지 마!
		필터 없이 사진 잘 받는 사람은 그렇게 많지 않다구.

		{trigger 0 Add filter to selfie}
		
		[THEO left thinking]
		필터를 쓰면 사진이 캐주얼하면서도, 세련되게 나오지.

	CH2_THEO_C=
		[MADELINE right normal]
		사진작가 일은 어쩌다가 시작하게 된 거야?

		[THEO left normal]
		우리 할아버지가 사진 찍는 걸 엄청 좋아하셨거든.

		[THEO left thinking]
		나중에 알고 보니까 우리 할아버지,{n}사진 관련 분야에선 엄청 유명하신 분이었더라.

		[THEO left wtf]
		내가 할아버지만큼 사진을 잘 찍을 수 있을지는 솔직히 잘 모르겠어.

		[THEO left normal]
		그래도 할아버지랑 가까워지는 느낌이 들어서 기분 좋아.

	CH2_THEO_D=
		[THEO left excited]
		그래서 넌 이 {+MOUNTAIN}의 정상에 오르기로 결심한 거야?
		
		[MADELINE right normal]
		응, 나 자신과 한 약속이야.

		[MADELINE right sad]
		더 이상 나 자신과 한 약속을 깨고 싶지 않아.
		
		[THEO left excited]
		삶의 목표구나! 마음에 드는데.
		
		[THEO left normal]
		나도 너처럼 정상에 올라갈 수 있을진 모르겠지만, 아직 돌아갈 생각은 없어.

	CH2_THEO_E=
		[THEO left wtf]
		넌 여기서 데이터 잡혀?
		
		[MADELINE right normal]
		난 스마트폰 없어.
		
		[THEO left wtf]
		{+MADELINE},{n}21세기에 스마트폰도 없다니... 정말 할 말을 잃게 만드네.

	CH2_END_PHONECALL=
		[MOM_PHONE right normal]
		여보세요?
		
		[MADELINE_PHONE left distracted]
		안녕, {# 339CC7}엄마{#}.
		
		[MOM_PHONE right normal]
		{+MADELINE}, 웬일이니! 네가 전화도 다 하고.
		여행은 좀 어떠니?
		
		[MADELINE_PHONE left distracted]
		괜찮아, 그냥 좀... 힘들어서.
		
		[MOM_PHONE right concerned]
		이런, 또 공황 발작 증상이 오는 거니?
		숨 쉬는 데 집중하렴, 엄마 여기 있단다.
		무슨 안 좋은 일이라도 있니?

	CH2_JOURNAL=
		탁자 위에 먼지 쌓인 낡은 책이 펼쳐져 있다.
		색이 다 바랜 페이지에 시가 한 편 적혀 있다.

	CH2_POEM=
		환영,{n}
		이 세상의 것이 아니다.{n}
		하지만 그렇기에,{n}
		틀 안에 숨어버리고 만다.{n}{n}
		깨어나라, 요새 같은 내 마음이여.{n}
		꿈 속에서 나는, 상처받기 쉽나니.

# *** Chapter 03 ***

	CH3_OSHIRO_FRONT_DESK=
		[OSHIRO right normal]
		어서 오세요! 무엇을 도와드릴까요?

		[MADELINE left surprised]
		유령... 이신가요?
		
		[OSHIRO right worried]
		유령이요? 무슨 소릴 하시는 겁니까.
		
		[OSHIRO right normal]
		저는 이 훌륭한 리조트의 관리인입니다.

		[OSHIRO right worried]
		{~}{>> .2}세계에서 가장 유명한{/~}{>>}{n}{big}셀레스티얼 리조트 호텔{/big}{.3}{n}에 오신 것을 환영합니다!

		[OSHIRO right normal]
		이 {+OSHIRO}가 당신을 모시겠습니다.
		
		[OSHIRO right sidehappy]
		{+thought}하루에 손님이 두 명이나! 드디어 장사가 되는구나!{+endthought}
		
		[OSHIRO right normal]
		그러면 며칠 동안 저희 호텔에 머무르시겠습니까?
		
		[MADELINE left normal]
		어... 전 그냥 지나가는 길인데요. {+MOUNTAIN}을 오르고 있거든요.
		혹시 여기 뒤쪽으로 나가는 출구가 있나요?
		
		[OSHIRO right worried]
		...출구요?
		
		[OSHIRO right sideworried]
		{+thought}그냥 지나가는 길이라고? 이런, 이런. 그렇게 둘 순 없지.{+endthought}
		
		[MADELINE left distracted]
		저기요, 지금 그 말 다 들리거든요?
		
		[OSHIRO right nervous]
		...
		
		[OSHIRO right normal]
		죄송하지만, 저희 호텔의 후문은 호텔 직원들만 사용할 수 있습니다.

		[OSHIRO right worried]
		하지만, 저희 호텔 최상층에 있는 프레지덴셜 스위트룸에 묵으신다면,{n}{+CELESTE_MOUNTAIN}의 절경을 창문을 통해 방에서 한눈에 보실 수 있답니다!

		[OSHIRO right normal]
		네, 그 방에 묵으신다면 아주 편안하실 겁니다.
		
		[MADELINE left distracted]
		그 방에서 지붕 위로 올라가면 뒤쪽으로 내려갈 수 있으려나?
		
		[OSHIRO right sidehappy]
		{+thought}프레지덴셜 스위트룸, 좋은 임기응변이었어, {+OSHIRO}!{+endthought}
		
		[OSHIRO right normal]
		기록을 남겨야 하는데, 성함이 어떻게 되시죠?
		
		[MADELINE left normal]
		{+MADELINE}(이)요.
		
		[MADELINE left sad]
		근데 다시 한번 말하는 거지만, 진짜 머무를 생각은 없어요.

		{trigger 0 Camera zooms back out}
		
		[OSHIRO right normal]
		이쪽으로 오시죠, {+MS_MADELINE}.

	CH3_GUESTBOOK=
		낡고 지저분한 방명록이다.
		페이지 대부분이 찢겨 나가거나 손상되어 있다.
		방명록에 적힌 글씨에서 은은한 빛이 맴돌고 있다...
		"이곳에서의 시간을 절대 잊지 못할 거예요."
		"이렇게 편안한 곳은 어디에도 없었습니다. 정말 감사합니다."
	
	CH3_OSHIRO_HALLWAY_A=
		[OSHIRO right normal]
		이쪽으로 따라오시죠, {+MS_MADELINE}.
		엘리베이터는 복도 끝에 있습니다.
		
		[MADELINE left distracted]
		호텔이 많이 지저분해 보이는데...

		[MADELINE left sad]
		여기 정말 영업 중인 거 맞아요?
		
		[OSHIRO right nervous]
		물론이죠!

		[OSHIRO right worried]
		셀레스티얼 리조트 호텔은 연중무휴랍니다!

		[OSHIRO right sideworried]
		{+thought}지저분하다고? 무슨 뜻으로 말한 거지?{+endthought}

		[OSHIRO right normal]
		아! 짐은 제가 들겠습니다.
		
		[MADELINE left sad]
		제 가방이요?

		[MADELINE left normal]
		괜찮아요, 제가 메고 있을게요.
		
		[OSHIRO right normal]
		흠, 알겠습니다.
		
		[OSHIRO right sidesuspicious]
		{+thought}정말 이상한 손님이야.{+endthought}

	CH3_OSHIRO_HALLWAY_B=
		[OSHIRO right normal]
		{+MS_MADELINE}, 좀 더 빨리 따라오셔야 합니다.

		[OSHIRO right worried]
		저는 세계 최고의 호텔을 운영하고 있습니다.{n}쓸데없이 기웃거리는 손님을 기다릴 시간은 없다구요.
		
		[MADELINE left sad]
		진짜 저 기다리실 필요 없어요.{n}전 그냥 여기서 나가는 길을 찾고 있거든요.
		
		[OSHIRO right sideworried]
		{+thought}{+OSHIRO}, 이 바보야. 손님은 왕이라고!{+endthought}
		{+thought}드디어 장사가 되기 시작하는데, 손님에게 화를 내면 어떡해!?{+endthought}
		
		[OSHIRO right nervous]
		그... 그렇군요, {+MS_MADELINE}!
		진심으로 사과드립니다. 제가 괜한 소리를 했군요.

		[OSHIRO right normal]
		그럼, 마음껏 둘러보시죠.

	CH3_MEMO_OPENING=
		잡동사니 사이로 오래된 종이 한 장이 튀어나와 있다...

	CH3_MEMO=
		{big}호텔 직원 일동에게 알립니다:{/big}{n}{n}
		안타깝지만 저희의 통제를 벗어난 상황으로 인해, 이번 시즌을 끝으로 셀레스티얼 리조트 호텔은 무기한 폐업에 들어가게 되었습니다.{n}{n}
		손님들이 가장 호화롭고 기억에 남는 경험을 누릴 수 있도록,{n}불철주야 근무한 여러분과 함께할 수 있어 영광이었습니다.{n}{n}
		무거운 마음으로 이 글을 적습니다. 이 호텔은 제 고향이자, 직원과 손님들은 제 가족이었습니다. 여러분 모두가 정말 그리울 겁니다.{n}{n}
		-Mr. 오시로

	CH3_OSHIRO_CLUTTER0=
		[OSHIRO left worried]
		아악! 여긴 완전 엉망진창이잖아!

		{trigger 1 Oshiro paces to the left}

		[OSHIRO left worried flip]
		언제부터 이렇게 된 거지!?

		{trigger 2 Oshiro paces back to the right}

		[OSHIRO left worried]
		어디부터 시작해야 할지도 모르겠네...
		
		[MADELINE right sad]
		{+MROSHIRO}, 이 호텔을 전부 혼자 운영하시는 거예요?
		
		[OSHIRO left nervous]
		맞습니다, {+MS_MADELINE}.{n}저 혼자선 이 난장판을 정리할 순 없겠죠.

		{trigger 0 Oshiro Collapses}
		
		[OSHIRO left drama]
		절망스러워라.

		[MADELINE right distracted]
		그런 뜻으로 말한 게 아니었는데...

		[MADELINE right sad]
		심호흡하세요, {+MROSHIRO}.
		그냥 대청소한다고 생각하면 될 거예요.
		
		[MADELINE right distracted]
		뭐, 말 그대로 {~}"대"{/~}청소인 거 같긴 한데...
		
		[MADELINE right normal]
		그래도 제가 도와드릴게요!
		
		[OSHIRO left normal]
		아, 정말 친절하시네요.
		
		[OSHIRO left drama]
		하지만 도와주지 않으셔도 됩니다.
		이걸 다 정리하려면 몇십 년은 걸리거든요.

	CH3_OSHIRO_CLUTTER0_B=
		[MADELINE right normal]
		이 호텔을 운영하신 지는 얼마나 되셨어요?

		[OSHIRO left normal]
		아, 꽤 오래됐죠.

		[OSHIRO left sideworried]
		{+thought}장사가 잘... 되는 편은 아니었지만.{+endthought}

		[MADELINE right sad]
		이 일을 무척 좋아하시나 봐요.

		[OSHIRO left normal]
		그럼요, {+MS_MADELINE}.

		{trigger 0 Oshiro gets back up}{/~}

		[OSHIRO left normal]
		호텔을 방문한 손님을 접대하기 위해선, 섬세한 배려는 필수랍니다!

		[OSHIRO left worried]
		진정으로 위대한 호텔은 행복해하는 손님들의 추억 속에 {.2}{~}영원히{/~} 남아 있으니까요.

		[MADELINE right normal]
		아주 멋진 정신이네요!
		이제 그 불타는 열정을 품고 이 난장판을 치워보자구요.

	CH3_OSHIRO_CLUTTER1=
		[OSHIRO right normal]
		아직 청소를 시작하지도 않았는데 벌써 신선하고 가벼운 기운이 들어요!
		이게 바로 긍정적인 생각의 힘!
		
		[MADELINE left distracted]
		음, 사실...
		
		[MADELINE left normal]
		제가 잡동사니를 좀 치워드렸어요.
		
		[OSHIRO right normal]
		아, 그렇군요. 감사합니다, {+MS_MADELINE}.
		하지만 도와주지 않으셔도 됩니다.{n}나머지는 호텔 직원들이 정리할 겁니다!
		
		[OSHIRO right sidesuspicious]
		{+thought}{+OSHIRO}, 이 바보야. 손님이 청소를 하게 하다니!{+endthought}

		[OSHIRO right sideworried]
		{+thought}손님은 청소 따위에 시간을 보내고 싶어 하지 않는다고!{+endthought}
		
		[MADELINE left distracted]
		저기... 괜찮으세요?
		
		[OSHIRO right nervous]
		네, 괜찮습니다.

		[OSHIRO right worried]
		이 호텔은 손님이 방문하신 호텔 중 최고일 겁니다, 이 {+OSHIRO}가 장담하지요!
		
		[OSHIRO right sideworried]
		{+thought}왜 문제가 이렇게나 쌓이도록 내버려 둔 거지?{+endthought}

	CH3_OSHIRO_CLUTTER1_B=

		[MADELINE left sad]
		{+MROSHIRO}, 잡동사니에 대해선 너무 걱정하지 않으셔도 돼요.

		[MADELINE left normal]
		하룻밤 머무를 순 없지만, 제가 호텔을 떠날 때까지 청소하는 걸 도와드릴게요.

		[OSHIRO right sideworried]
		{+thought}손님이 널 동정하잖아, {+OSHIRO}. 이 한심한 놈.{+endthought}

		[MADELINE left upset]
		...

	CH3_OSHIRO_CLUTTER2=
		[MADELINE left normal]
		정리한 다음에 보니까 훨씬 낫네요!
		
		[MADELINE left distracted]
		그럼 이제 출구가 어딘지 알려주실 수 있나요?

		[OSHIRO right worried]
		하지만 {+MS_MADELINE},{n}저희 호텔이 선사할 수 있는 호화스러운 서비스를{n}아직 즐기시지도 않으셨잖아요!
		
		[OSHIRO right normal]
		일단 제가 청소를 끝낸 뒤에 다시 이야기하죠.

		[OSHIRO right worried]
		전 아주 바쁘거든요!

		[OSHIRO right sidesuspicious]
		{+thought}요즘 젊은 것들이란... 예의라곤 찾아볼 수가 없다니까.{+endthought}
		
		[MADELINE left upset]
		...천만에요, 참 나.

	CH3_OSHIRO_CLUTTER2_B=
		[MADELINE left angry]
		도와달라는 거예요,{.3} 말라는 거예요?

		[OSHIRO right sideworried]
		{+thought}끝장이다, {+OSHIRO}. 손님이 널 싫어한다고.{+endthought}

		[MADELINE left upset]
		전,{.3} 그게 아니라...

		[MADELINE left distracted]
		...죄송해요.

		[MADELINE left sad]
		호텔이... 정말 예쁘네요. 정말로 세계 최고 수준이에요.
		저도 머무를 수 있었다면 좋았을 텐데.

		[OSHIRO right serious]
		괜한 소리 안 하셔도 됩니다, {+MS_MADELINE}.
		이해합니다.

	CH3_OSHIRO_CLUTTER_ENDING=
		{anchor bottom}
		[OSHIRO left normal]
		거기 계셨군요!
		이리저리 돌아다니시는 걸 좋아하시네요.
		
		[MADELINE right distracted]
		좀 힘들긴 했는데, 제가 전부 정리해드렸어요.
		
		[OSHIRO left normal]
		셀레스티얼 리조트 호텔은 고객님의 도움에 감사를 표합니다, {+MS_MADELINE}.
		물론, 직원들에게만 넘겨둬도 깔끔히 정리됐겠지만요.
		
		[MADELINE right upset]
		아, 네. 그럼요.
		
		[OSHIRO left sideworried]
		{+thought}이렇게 굴욕스러울 수가.{+endthought}
		
		[OSHIRO left worried]
		이제 빨리 방을 보고 싶으시겠네요!

		[OSHIRO left normal]
		엘리베이터를 타고 올라가시면, 복도 끝에 방이 있습니다.
		
		[MADELINE right upset]
		네, 네. 그러시겠죠.
		프레지덴셜 스위트룸이나 보여주세요.
		정말 환상적이겠네요.
		
		[OSHIRO left sideworried]
		{+thought}이제 마지막 기회야, {+OSHIRO}. 손님을 놓치면 안 돼.{+endthought}

	CH3_THEO_NEVER_MET=
		[MADELINE left sad]
		아, 안녕, 저기...{.2} 너도 여기 손님이야?

		{trigger 0 Theo stops trying to pry off the vent cover}
		
		[THEO right worried]
		와, 여기서 다른 사람을 만나서 {~}{!}정말{/!}{/~} 다행이야.
		여기 완전 소름 끼친다니까.
		
		[MADELINE left sad]	
		확실히 평범한... 호텔은 아닌 거 같네.

		[MADELINE left normal]
		아무튼, 난 {+MADELINE}(이)야.
		
		[THEO right normal]
		아, 난 {+THEO}라고 해.
		
		[THEO right thinking]
		내가 아무리 으스스한 미스터리를 좋아한다고 해도, 이런 곳은 사양이라고.

		{+CH3_THEO_ESCAPING}

	CH3_THEO_NEVER_INTRODUCED=
		[MADELINE left normal]
		{+THEO}! 너도 여기 "손님"이야?

		{trigger 0 Theo stops trying to pry off the vent cover}
		
		[THEO right worried]
		와, 여기서 다른 사람을 만나서 {~}{!}정말{/!}{/~} 다행이야.
		내가 아무리 으스스한 미스터리를 좋아한다고 해도, 이런 곳은 사양이라고.
		
		[MADELINE left sad]
		확실히 평범한... 호텔은 아닌 거 같네.

		[MADELINE left normal]
		아무튼, 난 {+MADELINE}(이)야.
		전에는 쌀쌀맞게 대해서 미안했어.{n}잠시 생각이 복잡했었거든.

		{+CH3_THEO_ESCAPING}

	CH3_THEO_INTRO=
		[MADELINE left normal]
		{+THEO}! 너도 여기 "손님"이야?

		{trigger 0 Theo stops trying to pry off the vent cover}
		
		[THEO right worried]
		{+MADELINE}! 여기서 널 만나서 {~}{!}정말{/!}{/~} 다행이야.
		내가 아무리 으스스한 미스터리를 좋아한다고 해도, 이런 곳은 사양이라고.

		{+CH3_THEO_ESCAPING}

	CH3_THEO_ESCAPING=
		[MADELINE left sad]
		{+MROSHIRO}랑 대화해봤어?

		[MADELINE left distracted]
		정말 도움이 필요하신 거 같던데.

		{trigger 0 Theo stops trying to pry off the vent cover}
		
		[THEO right wtf]
		{~}진심이야?{/~}
		그 아저씨는 소름 끼치는 괴짜라고.
		분명 우리가 대화하고 있는 이 순간에도{n}우리를 죽이고 시체를 어디에 숨길지 궁리하고 있을걸.

		{trigger 1 Theo goes back to prying off the vent cover}
		
		[THEO right worried]
		난 이 환기구로 기어나갈 거야.{n}밖에서 찬 공기가 들어오고 있어.
		너도 나랑 같이 가자!
		
		[MADELINE left sad]
		{+MROSHIRO}는 여러모로 문제가 많지만...{n}우리를 해치려는 거 같진 않아.
		
		[MADELINE left normal]
		그냥 이 난장판을 정리하시느라 정신이 없으신 거 같아.
		아저씨를 도와주고 싶어.
		
		[THEO right worried flip]
		{+MADELINE}, 아저씨를 도와주려는 마음은{n}기특하긴 한데, 그래도 그건 너무 위험해.
		
		{trigger 2 Theo removes vent cover and it flies off. Theo falls down as it comes off, and gets back up}

		[THEO right worried]
		우린 이 호텔에서 빠져나간 다음에 저 {.2}{*}기분 나쁜 아저씨{/*}를 처리할 전문가를 불러야 해.
		우리가 어떻게 할 수 있는 게 아냐.
		
		[MADELINE left distracted]
		난 아저씨를 이해할 수 있을 거 같아.

		[MADELINE left normal]
		먼저 가, 난 나중에 따라갈게.
		
		[THEO right wtf]
		와, 넌 내 여동생보다 고집이 더 세구나.
		그런 사람은 이 세상에 없을 줄 알았는데.

		{trigger 3 Theo walks to Maddy}
		
		[THEO right serious]
		그럼, 몸조심해.

		[MADELINE left normal]
		고마워, {+THEO}. 밖에서 보자.

	CH3_THEO_VENTS=
		{anchor bottom}
		[THEO right normal upsidedown]
		와, 여기 안은 완전 미로잖아.
		그 {+ELCREEPO} 일은 어떻게 됐어?
		
		[MADELINE left sad]
		내가 잡동사니를 전부 치워드렸어.{n}아저씨가 좀 무례하게 굴긴 하셨지만.
		
		[MADELINE left upset]
		그리고 아직도 날 여기 머무르게 설득하려고 하시더라고.
		
		[THEO right wtf upsidedown]
		{+MADELINE}, 진짜 느낌이 좋지 않아.
		내 촉이 {~}위험{/~}하다고 말하고 있어.
		지금 당장 여기서 나가야 한다니까.
		
		[MADELINE left sad]
		하지만, 지금 내가 여기서 사라져 버리면, {+MROSHIRO}는 완전히 무너져 버릴 거야.
		
		[MADELINE left distracted]
		그리고 나도 정말로 뭔가 좋은 일을 할 수 있을지도 몰라.{.3} 이번만큼은.
		
		[THEO right worried upsidedown]
		괜한 {~}동정심{/~} 가져봤자 좋을 거 없어, {+MADELINE}.

		[THEO right wtf upsidedown]
		뭘 어떻게 해도 결국 그 사람은 무너질 거 같던데.

		[THEO right worried upsidedown]
		네 안전부터 먼저 생각해야지.
		
		[MADELINE left upset]
		{+THEO}. 난 괜찮을 거야.
		
		[THEO right thinking upsidedown]
		그래, 그래. 어차피 듣지도 않을 거 같았어.

		[THEO right wtf upsidedown]
		밖에서 보자, 고집쟁이야.

	CH3_OSHIRO_BREAKDOWN=
		{anchor top}
